template_id,template_name,bathroom_size,location,tasks,quality_level,base_price,expected_margin,confidence_threshold
TPL001,Basic_Small_Marseille,4.0,marseille,"tiles,plumbing,painting",basic,3500.0,0.20,0.85
TPL002,Standard_Small_Marseille,4.0,marseille,"tiles,plumbing,painting,vanity",standard,4200.0,0.25,0.90
TPL003,Premium_Small_Marseille,4.0,marseille,"tiles,plumbing,painting,vanity,flooring",premium,5800.0,0.30,0.88
TPL004,Complete_Small_Marseille,4.0,marseille,"tiles,plumbing,painting,vanity,flooring,electrical",premium,6500.0,0.28,0.92
TPL005,Basic_Medium_Marseille,6.0,marseille,"tiles,plumbing,painting",basic,4800.0,0.22,0.87
TPL006,Standard_Medium_Marseille,6.0,marseille,"tiles,plumbing,painting,vanity,flooring",standard,6200.0,0.25,0.91
TPL007,Premium_Medium_Marseille,6.0,marseille,"tiles,plumbing,painting,vanity,flooring,electrical",premium,7800.0,0.30,0.89
TPL008,Basic_Small_Paris,4.0,paris,"tiles,plumbing,painting",basic,4550.0,0.20,0.83
TPL009,Standard_Small_Paris,4.0,paris,"tiles,plumbing,painting,vanity",standard,5460.0,0.25,0.88
TPL010,Premium_Small_Paris,4.0,paris,"tiles,plumbing,painting,vanity,flooring",premium,7540.0,0.30,0.86
TPL011,Basic_Small_Lyon,4.0,lyon,"tiles,plumbing,painting",basic,4025.0,0.20,0.86
TPL012,Standard_Small_Lyon,4.0,lyon,"tiles,plumbing,painting,vanity",standard,4830.0,0.25,0.89
TPL013,Premium_Small_Lyon,4.0,lyon,"tiles,plumbing,painting,vanity,flooring",premium,6670.0,0.30,0.87
TPL014,Basic_Small_Nice,4.0,nice,"tiles,plumbing,painting",basic,4375.0,0.20,0.84
TPL015,Standard_Small_Nice,4.0,nice,"tiles,plumbing,painting,vanity",standard,5250.0,0.25,0.88
TPL016,Premium_Small_Nice,4.0,nice,"tiles,plumbing,painting,vanity,flooring",premium,7250.0,0.30,0.86
TPL017,Budget_Conscious_4m2,4.0,marseille,"tiles,plumbing,painting",basic,3200.0,0.15,0.82
TPL018,Luxury_4m2,4.0,marseille,"tiles,plumbing,painting,vanity,flooring,electrical",luxury,8500.0,0.35,0.90
TPL019,Minimal_Renovation,4.0,marseille,"painting,vanity",standard,1800.0,0.20,0.75
TPL020,Full_Renovation,4.0,marseille,"tiles,plumbing,painting,vanity,flooring,electrical",premium,7200.0,0.28,0.93 
